State,City,Average Summer Temp(F),Average Winter Temp (F),Average Annual Temp (F),Average Annual Precipitation (in.),Average Annual Clear Days (Days),Average Humidity Morn­ing (%),Average Humidity After­noon (%),Average Yearly Snowfall (Days),Average Yearly Snowfall (in.)
Alabama,Tallassee,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Tanner,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Thomasville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Thorsby,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Troy,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Tuscaloosa,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Union Springs,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Valley Head,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Vernon,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Wetumpka,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Whatley,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Winfield,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alaska,Adak,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Anchorage,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Annette,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Auke Bay,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Barrow,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Bethel,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Bettles,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Cantwell,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Central,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Chandalar Lake,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Clear,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Cooper Landing,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Cordova,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Dillingham,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Eagle,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Fairbanks,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Galena,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Glennallen,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Gulkana,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Haines,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Healy,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Homer,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Iliamna,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Juneau,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Kasilof,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Kenai,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Ketchikan,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Kodiak,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Kotzebue,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Kuparuk,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,McCarthy,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,McGrath,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Nabesna,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Nenana,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Nome,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Northway,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Ouzinkie,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Palmer,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Paxson,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Petersburg,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Salcha,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Seward,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Sitka,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Skagway,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Skwentna,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Slana,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Sutton,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Talkeetna,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Tanana,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Tok,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Umiat,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Unalakleet,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Valdez,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Wales,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Wasilla,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Whittier,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Wrangell,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Alaska,Yakutat,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Arizona,Aguila,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Ajo,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Alpine,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Apache Junction,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Bagdad,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Bellemont,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Benson,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Bisbee,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Blue,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Bouse,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Bowie,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Buckeye,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Bullhead City,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Cameron,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Camp Verde,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Carefree,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Casa Grande,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Chandler Heights,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Chinle,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Chino Valley,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Clarkdale,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Clifton,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Colorado City,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Coolidge,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Crown King,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Dateland,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Douglas,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Duncan,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Ehrenberg,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Elgin,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Eloy,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Flagstaff,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Florence,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Fountain Hills,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Fredonia,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Ganado,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Gila Bend,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Globe,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Grand Canyon,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Green Valley,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Greer,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Happy Jack,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Holbrook,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Jerome,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Kayenta,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Keams Canyon,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Kingman,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Lake Havasu City,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Lake Montezuma,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Laveen,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Litchfield Park,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Littlefield,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Lukachukai,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Marble Canyon,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Maricopa,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Mc Neal,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Meadview,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Mesa,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Miami,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Morenci,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Morristown,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Nogales,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,North Rim,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Oracle,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Page,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Parker,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Payson,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Peridot,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Petrified Forest,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Phoenix,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Picacho,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Pima,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Pine,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Prescott,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Quartzsite,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Queen Creek,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Rio Verde,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Roll,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Roosevelt,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Sacaton,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Safford,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Saint Johns,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,San Simon,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Sanders,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Sasabe,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Scottsdale,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Sedona,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Seligman,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Sells,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Show Low,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Sierra Vista,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Snowflake,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Somerton,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Springerville,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Superior,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Tacna,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Teec Nos Pos,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Tempe,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Temple Bar Marina,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Tombstone,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Tonopah,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Tonto Basin,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Tuba City,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Tucson,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Tumacacori,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Wenden,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Whiteriver,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Wickenburg,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Wikieup,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Willcox,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Williams,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Willow Beach,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Window Rock,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Winslow,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Wittmann,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Young,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Youngtown,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Yucca,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arizona,Yuma,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arkansas,Alicia,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Arkadelphia,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Batesville,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Beedeville,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Benton,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Bentonville,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Berryville,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Bismarck,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Blytheville,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Booneville,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Brinkley,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Cabot,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Calico Rock,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Camden,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Clarendon,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Clarksville,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Conway,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Corning,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Crocketts Bluff,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Crossett,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Dardanelle,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,De Queen,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Deer,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Dermott,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Des Arc,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Dumas,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,El Dorado,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Ethel,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Eudora,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Eureka Springs,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Evening Shade,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Fayetteville,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Fordyce,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Forrest City,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Fort Smith,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Gilbert,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Gillett,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Gravette,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Greenbrier,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Harrisburg,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Harrison,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Havana,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Heber Springs,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Hector,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Helena,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Hickory Ridge,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Hope,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Huntsville,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Jonesboro,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Keiser,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Keo,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Kingston,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Lead Hill,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Leola,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Lewisville,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Little Rock,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Magnolia,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Malvern,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Mammoth Spring,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Marianna,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Marshall,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Mena,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Monticello,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
Arkansas,Morrilton,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
