"city";"state";"county";"countyFips";"latitude";"longitude";"population";"propertyValue";"minTemp";"maxTemp";"sunny";"humidity";"rain";"snow";"color"
"Addis";"Louisiana";"West Baton Rouge";22121;30.3652;-91.2659;4873;207056;41.0;90.8;101;74;60.1;0.0;"red"
"Addison";"Illinois";"DuPage";17043;41.9314;-88.0086;36902;227357;19.5;82.8;95;70;39.2;24.6;"blue"
"Addison";"New York";"Steuben";36101;42.1063;-77.232;1702;78390;17.9;78.5;63;71;41.8;123.8;"red"
"Addison";"Texas";"Dallas";48113;32.9587;-96.8356;15368;316915;39.8;93.0;135;65;28.9;1.5;"blue"
"Adel";"Iowa";"Dallas";19049;41.6122;-94.0136;4293;227679;13.5;82.8;105;67;34.0;34.9;"red"
"Adelanto";"California";"San Bernardino";6071;34.5868;-117.4411;33391;209006;42.6;79.8;146;69;22.2;0.0;"blue"
"Adrian";"Michigan";"Lenawee";26091;41.8994;-84.0447;20676;103008;15.0;76.6;71;72;32.8;51.1;"red"
"Adrian";"Minnesota";"Nobles";27105;43.6333;-95.9334;1223;90572;4.1;77.6;95;66;27.3;54.0;"red"
"Afton";"Minnesota";"Washington";27163;44.9042;-92.8173;2991;468435;4.1;77.6;95;66;27.3;54.0;"blue"
"Afton";"New York";"Chenango";36017;42.2291;-75.5247;809;95075;17.9;78.5;63;71;41.8;123.8;"red"
"Afton";"Oklahoma";"Ottawa";40115;36.6965;-94.9579;1040;110611;27.5;91.3;139;63;36.5;7.8;"red"
"Agoura Hills";"California";"Los Angeles";6037;34.151;-118.7608;20745;873876;42.6;79.8;146;69;22.2;0.0;"blue"
"Aiken";"South Carolina";"Aiken";45003;33.5303;-81.7271;30937;128726;35.4;88.3;115;67;49.8;0.5;"red"
"Airway Heights";"Washington";"Spokane";53063;47.6464;-117.5802;6672;190435;30.1;74.7;58;72;39.4;5.0;"red"
"Akeley";"Minnesota";"Hubbard";27057;47.0005;-94.7279;430;162971;4.1;77.6;95;66;27.3;54.0;"red"
"Akron";"New York";"Erie";36029;43.0179;-78.4978;2854;144666;17.9;78.5;63;71;41.8;123.8;"blue"
"Akron";"Ohio";"Summit";39153;41.0802;-81.5219;197633;41271;21.0;80.0;167;70;39.6;47.4;"blue"
"Akron";"Pennsylvania";"Lancaster";42071;40.158;-76.2032;3983;195039;21.0;81.2;87;65;42.9;28.2;"red"
"Alabaster";"Alabama";"Shelby";1117;33.2197;-86.8233;32948;170386;36.6;89.6;99;68;58.3;1.6;"red"
"Alachua";"Florida";"Alachua";12001;29.7779;-82.4827;9893;181532;49.8;90.2;101;72;54.5;0.0;"blue"
"Alameda";"California";"Alameda";6001;37.767;-122.2673;78906;1004715;42.6;79.8;146;69;22.2;0.0;"blue"
"Alamo";"Tennessee";"Crockett";47033;35.7832;-89.1166;2457;68377;28.5;86.5;102;68;54.2;6.3;"red"
"Alamo";"Texas";"Hidalgo";48215;26.1795;-98.1183;19220;72962;39.8;93.0;135;65;28.9;1.5;"blue"
"Alamogordo";"New Mexico";"Otero";35035;32.8834;-105.9627;31283;174500;33.0;92.0;167;44;11.7;3.9;"red"
"Alamosa";"Colorado";"Alamosa";8003;37.4755;-105.877;9918;156186;1.0;80.0;285;47;7.3;27.6;"blue"
"Alanson";"Michigan";"Emmet";26047;45.4425;-84.7871;743;96580;15.0;76.6;71;72;32.8;51.1;"red"
"Albany";"California";"Alameda";6001;37.8898;-122.3018;19688;1080053;42.6;79.8;146;69;22.2;0.0;"blue"
"Albany";"Georgia";"Dougherty";13095;31.5776;-84.1762;73801;10928;38.0;92.0;112;68;51.4;0.7;"blue"
"Albany";"Illinois";"Whiteside";17195;41.7861;-90.2166;882;100432;19.5;82.8;95;70;39.2;24.6;"red"
"Albany";"Indiana";"Delaware";18035;40.3061;-85.2324;2107;85762;21.4;83.1;88;70;41.7;25.9;"red"
"Albany";"Louisiana";"Livingston";22063;30.5026;-90.5848;1114;120751;41.0;90.8;101;74;60.1;0.0;"red"
"Albany";"Minnesota";"Stearns";27145;45.6283;-94.5676;2668;155789;4.1;77.6;95;66;27.3;54.0;"red"
"Albany";"New York";"Albany";36001;42.6664;-73.7987;98111;181476;17.0;80.0;180;70;39.4;59.1;"blue"
"Albany";"Ohio";"Athens";39009;39.2245;-82.1977;891;130461;22.6;81.9;72;68;39.1;27.5;"blue"
"Albany";"Oregon";"Linn";41043;44.6274;-123.0966;53211;260939;29.0;76.7;68;72;27.4;3.0;"red"
"Albany";"Wisconsin";"Green";55045;42.7069;-89.4367;1011;169048;10.4;77.8;89;71;32.6;50.9;"blue"
"Albert City";"Iowa";"Buena Vista";19021;42.7816;-94.9491;685;57739;13.5;82.8;105;67;34.0;34.9;"red"
"Albert Lea";"Minnesota";"Freeborn";27047;43.6548;-93.3643;17667;78060;8.0;80.0;95;66;34.1;37.8;"red"
"Albertville";"Alabama";"Marshall";1095;34.2631;-86.2106;21525;139000;36.6;89.6;99;68;58.3;1.6;"red"
"Albertville";"Minnesota";"Wright";27171;45.2365;-93.6617;7401;237520;4.1;77.6;95;66;27.3;54.0;"red"
"Albion";"Indiana";"Noble";18113;41.3966;-85.4187;2320;101276;21.4;83.1;88;70;41.7;25.9;"red"
"Albion";"New York";"Orleans";36073;43.246;-78.1902;5962;92000;17.9;78.5;63;71;41.8;123.8;"red"
"Albion";"Pennsylvania";"Erie";42049;41.8904;-80.3641;1465;98313;21.0;81.2;87;65;42.9;28.2;"red"
"Albuquerque";"New Mexico";"Bernalillo";35001;35.1055;-106.6476;559277;133470;27.0;88.0;278;44;9.5;9.6;"blue"
"Alburnett";"Iowa";"Linn";19113;42.1494;-91.621;699;192615;13.5;82.8;105;67;34.0;34.9;"blue"
"Alburtis";"Pennsylvania";"Lehigh";42077;40.509;-75.6001;2563;169321;21.0;81.2;87;65;42.9;28.2;"blue"
"Alcoa";"Tennessee";"Blount";47009;35.8071;-83.9748;9874;132632;28.5;86.5;102;68;54.2;6.3;"red"
"Aldan";"Pennsylvania";"Delaware";42045;39.9224;-75.2882;4154;158129;21.0;81.2;87;65;42.9;28.2;"blue"
"Alden";"New York";"Erie";36029;42.8988;-78.4946;2573;174566;17.9;78.5;63;71;41.8;123.8;"blue"
"Alexander";"New York";"Genesee";36037;42.902;-78.259;499;111388;17.9;78.5;63;71;41.8;123.8;"red"
"Alexander City";"Alabama";"Tallapoosa";1123;32.924;-85.9353;14773;90907;36.6;89.6;99;68;58.3;1.6;"red"
"Alexandria";"Indiana";"Madison";18095;40.2583;-85.676;5024;80987;21.4;83.1;88;70;41.7;25.9;"red"
"Alexandria";"Kentucky";"Campbell";21037;38.9622;-84.3861;9340;166430;26.6;86.1;93;67;48.9;12.5;"red"
"Alexandria";"Minnesota";"Douglas";27041;45.8748;-95.3784;13568;174595;5.0;78.0;95;66;25.1;42.3;"red"
"Alexandria";"Ohio";"Licking";39089;40.09;-82.6119;530;235664;22.6;81.9;72;68;39.1;27.5;"red"
"Alexandria";"Tennessee";"DeKalb";47041;36.0791;-86.0381;972;110059;28.5;86.5;102;68;54.2;6.3;"red"
"Alexandria";"Virginia";"Alexandria (city)";51510;38.8184;-77.0861;155810;525000;28.0;84.3;100;68;44.3;10.3;"blue"
"Alford";"Florida";"Jackson";12063;30.6961;-85.3946;466;102125;49.8;90.2;101;72;54.5;0.0;"red"
"Alger";"Ohio";"Hardin";39065;40.7095;-83.8439;847;81222;22.6;81.9;72;68;39.1;27.5;"red"
"Algoma";"Wisconsin";"Kewaunee";55061;44.6057;-87.4465;3098;106128;10.4;77.8;89;71;32.6;50.9;"red"
"Algona";"Washington";"King";53033;47.2819;-122.2504;3156;315322;30.1;74.7;58;72;39.4;5.0;"blue"
"Algonac";"Michigan";"St. Clair";26147;42.6216;-82.5349;4056;156510;15.0;76.6;71;72;32.8;51.1;"red"
"Algonquin";"Illinois";"McHenry";17111;42.1629;-88.3158;30947;240995;19.5;82.8;95;70;39.2;24.6;"red"
"Algood";"Tennessee";"Putnam";47141;36.2;-85.4467;4193;122838;28.5;86.5;102;68;54.2;6.3;"red"
"Alhambra";"California";"Los Angeles";6037;34.084;-118.1355;85474;658701;42.6;79.8;146;69;22.2;0.0;"blue"
"Alhambra";"Illinois";"Madison";17119;38.8876;-89.736;657;162914;19.5;82.8;95;70;39.2;24.6;"red"
"Alice";"Texas";"Jim Wells";48249;27.7556;-98.0653;19285;114950;47.0;96.0;135;65;28.9;1.5;"blue"
"Aliso Viejo";"California";"Orange";6059;33.5792;-117.729;51424;632229;42.6;79.8;146;69;22.2;0.0;"blue"
"Allegan";"Michigan";"Allegan";26005;42.5299;-85.8462;5072;128396;15.0;76.6;71;72;32.8;51.1;"red"
"Allegany";"New York";"Cattaraugus";36009;42.0917;-78.4927;1729;108830;17.9;78.5;63;71;41.8;123.8;"red"
"Allen";"Oklahoma";"Pontotoc";40123;34.8774;-96.413;935;73990;27.5;91.3;139;63;36.5;7.8;"red"
"Allen";"Texas";"Collin";48085;33.1087;-96.6735;99179;315378;39.8;93.0;135;65;28.9;1.5;"red"
"Allen Park";"Michigan";"Wayne";26163;42.2597;-83.2107;27214;126252;15.0;76.6;71;72;32.8;51.1;"blue"
"Allendale";"New Jersey";"Bergen";34003;41.0332;-74.1332;6853;626407;24.6;82.2;94;71;47.1;16.5;"blue"
"Allenhurst";"Georgia";"Liberty";13179;31.784;-81.6077;663;132244;35.8;89.0;112;68;50.7;0.7;"blue"
"Allentown";"New Jersey";"Monmouth";34025;40.1778;-74.5872;1810;316949;24.6;82.2;94;71;47.1;16.5;"red"
"Allentown";"Pennsylvania";"Lehigh";42077;40.5962;-75.4756;120443;17699;22.0;82.0;204;68;45.4;32.9;"blue"
"Alliance";"Ohio";"Stark";39151;40.9107;-81.1189;21900;89467;22.6;81.9;72;68;39.1;27.5;"red"
"Allouez";"Wisconsin";"Brown";55009;44.472;-88.0261;13896;158289;10.4;77.8;89;71;32.6;50.9;"red"
"Alma";"Arkansas";"Crawford";5033;35.4914;-94.2183;5672;125274;31.0;89.9;123;67;50.6;5.2;"red"
"Alma";"Colorado";"Park";8093;39.2852;-106.0654;289;318021;12.2;81.3;136;47;15.9;19.1;"red"
"Alma";"Michigan";"Gratiot";26057;43.38;-84.6556;9149;82526;15.0;76.6;71;72;32.8;51.1;"red"
"Almond";"New York";"Allegany";36003;42.3193;-77.7386;441;84251;17.9;78.5;63;71;41.8;123.8;"red"
"Almont";"Michigan";"Lapeer";26087;42.9206;-83.0429;2764;193325;15.0;76.6;71;72;32.8;51.1;"red"
"Alpena";"Arkansas";"Boone";5009;36.2897;-93.3043;394;98955;31.0;89.9;123;67;50.6;5.2;"red"
"Alpena";"Michigan";"Alpena";26007;45.0745;-83.4383;10122;83483;13.0;77.0;171;74;28.1;82.8;"red"
"Alpha";"New Jersey";"Warren";34041;40.6599;-75.1569;2296;161634;24.6;82.2;94;71;47.1;16.5;"red"
"Alpharetta";"Georgia";"Fulton";13121;34.0704;-84.2739;65338;377896;35.8;89.0;112;68;50.7;0.7;"blue"
"Alpine";"New Jersey";"Bergen";34003;40.9617;-73.92;1869;3044317;24.6;82.2;94;71;47.1;16.5;"blue"
"Alpine";"Utah";"Utah";49049;40.4621;-111.7728;10361;647548;18.8;87.2;125;55;12.2;56.2;"red"
"Alsip";"Illinois";"Cook";17031;41.6701;-87.7368;19158;156858;19.5;82.8;95;70;39.2;24.6;"blue"
"Alta";"Iowa";"Buena Vista";19021;42.6717;-95.3045;1933;120593;13.5;82.8;105;67;34.0;34.9;"red"
"Altamont";"Illinois";"Effingham";17049;39.0571;-88.7474;2296;102261;19.5;82.8;95;70;39.2;24.6;"red"
"Altamonte Springs";"Florida";"Seminole";12117;28.6616;-81.395;43492;175896;49.8;90.2;101;72;54.5;0.0;"red"
"Alto";"Georgia";"Banks";13011;34.4652;-83.5727;1164;114205;35.8;89.0;112;68;50.7;0.7;"red"
"Alton";"Illinois";"Madison";17119;38.9033;-90.1523;26861;59787;25.0;87.0;95;70;41.3;24.6;"red"
"Alton";"Iowa";"Sioux";19167;42.9875;-96.0092;1271;153126;13.5;82.8;105;67;34.0;34.9;"red"
"Alton";"Texas";"Hidalgo";48215;26.2887;-98.3105;16895;91972;39.8;93.0;135;65;28.9;1.5;"blue"
"Altoona";"Iowa";"Polk";19153;41.6468;-93.4768;17938;208774;13.5;82.8;105;67;34.0;34.9;"blue"
"Altoona";"Pennsylvania";"Blair";42013;40.5084;-78.401;44589;74359;21.0;79.0;87;65;35.6;31.7;"red"
"Altus";"Oklahoma";"Jackson";40065;34.6566;-99.3051;19163;45322;27.0;94.0;139;63;28.6;3.5;"red"
"Alva";"Oklahoma";"Woods";40151;36.8011;-98.6679;5120;56022;27.5;91.3;139;63;36.5;7.8;"red"
"Alvarado";"Texas";"Johnson";48251;32.4068;-97.215;3993;121568;39.8;93.0;135;65;28.9;1.5;"red"
"Alvin";"Texas";"Brazoria";48039;29.382;-95.2924;26164;164389;39.8;93.0;135;65;28.9;1.5;"red"
"Alvord";"Texas";"Wise";48497;33.3569;-97.696;1435;167438;39.8;93.0;135;65;28.9;1.5;"red"
"Amanda";"Ohio";"Fairfield";39045;39.6502;-82.7424;740;150595;22.6;81.9;72;68;39.1;27.5;"red"
"Amarillo";"Texas";"Potter";48375;35.1999;-101.8297;199582;44827;24.0;89.0;261;56;20.4;1.5;"red"
"Amberley";"Ohio";"Hamilton";39061;39.2033;-84.4283;3604;327124;22.6;81.9;72;68;39.1;27.5;"blue"
"Ambler";"Pennsylvania";"Montgomery";42091;40.1564;-75.2215;6500;282664;21.0;81.2;87;65;42.9;28.2;"blue"
"Amboy";"Minnesota";"Blue Earth";27013;43.8879;-94.158;513;126692;4.1;77.6;95;66;27.3;54.0;"red"
"Ambrose";"Georgia";"Coffee";13069;31.5944;-83.0137;382;87887;35.8;89.0;112;68;50.7;0.7;"red"
"Amelia";"Ohio";"Clermont";39025;39.0228;-84.2185;4957;157386;22.6;81.9;72;68;39.1;27.5;"red"
"American Canyon";"California";"Napa";6055;38.1798;-122.2583;20452;555978;42.6;79.8;146;69;22.2;0.0;"blue"
"American Fork";"Utah";"Utah";49049;40.3815;-111.7935;28770;313982;18.8;87.2;125;55;12.2;56.2;"red"
"Americus";"Georgia";"Sumter";13261;32.0737;-84.2248;15854;75519;35.8;89.0;112;68;50.7;0.7;"blue"
"Amery";"Wisconsin";"Polk";55095;45.3046;-92.3634;2839;165840;10.4;77.8;89;71;32.6;50.9;"red"
"Ames";"Iowa";"Story";19169;42.0262;-93.6275;66191;178857;14.0;83.0;105;67;35.8;31.6;"blue"
"Amherst";"Ohio";"Lorain";39093;41.4022;-82.2303;12078;143509;22.6;81.9;72;68;39.1;27.5;"red"
"Amherst";"Virginia";"Amherst";51009;37.5815;-79.0508;2205;172093;28.0;84.3;100;68;44.3;10.3;"red"
"Amherst";"Wisconsin";"Portage";55097;44.4473;-89.2833;1046;168431;10.4;77.8;89;71;32.6;50.9;"blue"
"Amherst Junction";"Wisconsin";"Portage";55097;44.4686;-89.317;375;178805;10.4;77.8;89;71;32.6;50.9;"blue"
"Amity";"Oregon";"Yamhill";41071;45.1154;-123.2034;1667;258691;29.0;76.7;68;72;27.4;3.0;"red"
"Amityville";"New York";"Suffolk";36103;40.6696;-73.4156;9494;326946;17.9;78.5;63;71;41.8;123.8;"red"
"Ammon";"Idaho";"Bonneville";16019;43.4748;-111.9559;15252;199797;17.2;81.6;120;54;18.9;19.2;"red"
"Amsterdam";"New York";"Montgomery";36057;42.9419;-74.1906;17858;104750;17.9;78.5;63;71;41.8;123.8;"red"
"Anacoco";"Louisiana";"Vernon";22115;31.2545;-93.344;841;91408;41.0;90.8;101;74;60.1;0.0;"red"
"Anacortes";"Washington";"Skagit";53057;48.4878;-122.6291;16681;438803;36.0;72.0;58;72;27.8;2.4;"blue"
"Anadarko";"Oklahoma";"Caddo";40015;35.0653;-98.244;6761;34498;27.5;91.3;139;63;36.5;7.8;"red"
"Anaheim";"California";"Orange";6059;33.839;-117.8572;351043;41228;47.0;85.0;146;69;13.4;0.0;"blue"
"Anchorage";"Alaska";"Anchorage";2020;61.1508;-149.1091;298192;64320;12.0;64.0;126;71;16.6;74.5;"red"
"Andale";"Kansas";"Sedgwick";20173;37.7915;-97.6275;993;180451;20.3;88.2;128;65;28.9;14.7;"red"
"Andalusia";"Illinois";"Rock Island";17161;41.4374;-90.7164;1177;117073;19.5;82.8;95;70;39.2;24.6;"blue"
"Anderson";"California";"Shasta";6089;40.4509;-122.2961;10232;216267;42.6;79.8;146;69;22.2;0.0;"red"
"Anderson";"South Carolina";"Anderson";45007;34.521;-82.6477;27544;136507;33.0;89.0;115;67;48.4;1.4;"red"
"Andover";"Kansas";"Butler";20015;37.687;-97.1352;12980;179647;20.3;88.2;128;65;28.9;14.7;"red"
"Andover";"Minnesota";"Anoka";27003;45.2571;-93.3264;32461;292457;4.1;77.6;95;66;27.3;54.0;"red"
"Andover";"New Jersey";"Sussex";34037;40.9864;-74.7429;571;243961;24.6;82.2;94;71;47.1;16.5;"red"
"Andover";"New York";"Allegany";36003;42.1575;-77.7955;1000;55652;17.9;78.5;63;71;41.8;123.8;"red"
"Andover";"Ohio";"Ashtabula";39007;41.6068;-80.5687;1114;79993;22.6;81.9;72;68;39.1;27.5;"red"
"Andrews";"Indiana";"Huntington";18069;40.8603;-85.6019;1129;71625;21.4;83.1;88;70;41.7;25.9;"red"
"Andrews";"North Carolina";"Cherokee";37039;35.1996;-83.8258;1798;110888;30.9;84.8;109;67;50.3;7.6;"red"
"Andrews";"South Carolina";"Williamsburg";45089;33.4494;-79.566;2896;47967;35.4;88.3;115;67;49.8;0.5;"blue"
"Angier";"North Carolina";"Harnett";37085;35.5069;-78.7395;5096;160914;30.9;84.8;109;67;50.3;7.6;"red"
"Angleton";"Texas";"Brazoria";48039;29.1689;-95.4288;19491;146173;39.8;93.0;135;65;28.9;1.5;"red"
"Angola";"Indiana";"Steuben";18151;41.6431;-85.005;8591;152672;17.0;80.0;88;70;39.0;36.7;"red"
"Angola";"New York";"Erie";36029;42.6379;-79.0295;2113;115906;17.9;78.5;63;71;41.8;123.8;"blue"
"Ankeny";"Iowa";"Polk";19153;41.7279;-93.6033;58627;233685;13.5;82.8;105;67;34.0;34.9;"blue"
"Ann Arbor";"Michigan";"Washtenaw";26161;42.2757;-83.7312;120782;21529;20.0;81.0;71;72;37.6;57.3;"blue"
"Anna";"Ohio";"Shelby";39149;40.3962;-84.1762;1532;165602;22.6;81.9;72;68;39.1;27.5;"red"
"Anna Maria";"Florida";"Manatee";12081;27.5297;-82.734;1723;951529;49.8;90.2;101;72;54.5;0.0;"red"
"Annandale";"Minnesota";"Wright";27171;45.26;-94.1203;3315;218982;4.1;77.6;95;66;27.3;54.0;"red"
"Annapolis";"Maryland";"Anne Arundel";24003;38.9705;-76.5047;39418;414771;31.0;88.0;105;64;47.3;20.2;"blue"
"Annawan";"Illinois";"Henry";17073;41.3948;-89.8881;855;98368;19.5;82.8;95;70;39.2;24.6;"red"
"Anoka";"Minnesota";"Anoka";27003;45.21;-93.3894;17400;214045;4.1;77.6;95;66;27.3;54.0;"red"
"Ansonia";"Connecticut";"New Haven";9009;41.3443;-73.0689;18732;188052;21.0;80.0;82;65;50.3;40.5;"blue"
"Anthony";"Texas";"El Paso";48141;31.9876;-106.5933;5584;134375;39.8;93.0;135;65;28.9;1.5;"blue"
"Antioch";"California";"Contra Costa";6013;37.9789;-121.7958;110898;438390;40.0;89.0;146;69;13.2;0.0;"blue"
"Antioch";"Illinois";"Lake";17097;42.4744;-88.072;14274;192261;16.0;80.0;95;70;36.7;42.7;"blue"
"Anton";"Texas";"Hockley";48219;33.8114;-102.1622;1115;64102;39.8;93.0;135;65;28.9;1.5;"red"
"Apache";"Oklahoma";"Caddo";40015;34.8938;-98.3581;1441;53804;27.5;91.3;139;63;36.5;7.8;"red"
"Apache Junction";"Arizona";"Pinal";4021;33.3982;-111.5349;39954;194872;43.0;103.0;193;39;13.3;0.3;"red"
"Apalachicola";"Florida";"Franklin";12037;29.7282;-84.994;2328;134534;44.0;90.0;241;72;128.0;0.0;"red"
"Apex";"North Carolina";"Wake";37183;35.7248;-78.866;47349;339000;30.9;84.8;109;67;50.3;7.6;"blue"
"Apollo";"Pennsylvania";"Armstrong";42005;40.5849;-79.5648;1572;31969;21.0;81.2;87;65;42.9;28.2;"red"
"Apopka";"Florida";"Orange";12095;28.7006;-81.5303;49458;228990;49.8;90.2;101;72;54.5;0.0;"blue"
"Apple Creek";"Ohio";"Wayne";39169;40.7486;-81.8334;1186;168424;22.6;81.9;72;68;39.1;27.5;"red"
"Apple River";"Illinois";"Jo Daviess";17085;42.5022;-90.0937;351;169309;19.5;82.8;95;70;39.2;24.6;"red"
"Apple Valley";"California";"San Bernardino";6071;34.5329;-117.2102;72553;248833;42.6;79.8;146;69;22.2;0.0;"blue"
"Apple Valley";"Minnesota";"Dakota";27037;44.7456;-93.2006;51957;265792;4.1;77.6;95;66;27.3;54.0;"blue"
"Appleton";"Wisconsin";"Outagamie";55087;44.2775;-88.3896;74370;18632;12.0;79.0;89;71;31.1;44.2;"red"
"Aragon";"Georgia";"Polk";13233;34.0457;-85.057;1242;83287;35.8;89.0;112;68;50.7;0.7;"red"
"Aransas Pass";"Texas";"San Patricio";48409;27.8881;-97.1128;8393;119068;39.8;93.0;135;65;28.9;1.5;"red"
"Arcade";"New York";"Wyoming";36121;42.5317;-78.4327;1972;141528;17.9;78.5;63;71;41.8;123.8;"red"
"Arcadia";"California";"Los Angeles";6037;34.1342;-118.0373;58523;1089095;42.6;79.8;146;69;22.2;0.0;"blue"
"Arcadia";"Florida";"DeSoto";12027;27.2213;-81.8586;7941;111683;49.0;91.0;101;72;52.2;0.0;"red"
"Arcadia";"Indiana";"Hamilton";18057;40.1742;-86.0211;1653;144270;21.4;83.1;88;70;41.7;25.9;"red"
"Arcadia";"Ohio";"Hancock";39063;41.1078;-83.5144;600;104376;22.6;81.9;72;68;39.1;27.5;"red"
"Arcadia";"Wisconsin";"Trempealeau";55121;44.2494;-91.4948;3057;138569;10.4;77.8;89;71;32.6;50.9;"red"
"Arcata";"California";"Humboldt";6023;40.862;-124.0754;17974;321114;42.6;79.8;146;69;22.2;0.0;"blue"
"Archbald";"Pennsylvania";"Lackawanna";42069;41.5077;-75.5453;6979;129079;21.0;81.2;87;65;42.9;28.2;"blue"
"Archbold";"Ohio";"Fulton";39051;41.5162;-84.3034;4335;138516;22.6;81.9;72;68;39.1;27.5;"red"
"Archdale";"North Carolina";"Randolph";37151;35.9035;-79.9612;11631;129005;30.9;84.8;109;67;50.3;7.6;"red"
"Archer";"Florida";"Alachua";12001;29.5395;-82.5137;1191;178731;49.8;90.2;101;72;54.5;0.0;"blue"
"Archie";"Missouri";"Cass";29037;38.4826;-94.3502;1210;146474;23.2;86.6;115;67;42.2;17.0;"red"
"Arden Hills";"Minnesota";"Ramsey";27123;45.0722;-93.1671;10324;350995;4.1;77.6;95;66;27.3;54.0;"blue"
"Ardmore";"Oklahoma";"Carter";40019;34.1944;-97.1251;25107;75374;33.0;92.0;139;63;37.6;3.1;"red"
"Ardmore";"Tennessee";"Giles";47055;35.0031;-86.8555;1216;111116;28.5;86.5;102;68;54.2;6.3;"red"
"Ardsley";"New York";"Westchester";36119;41.0135;-73.8395;4634;678624;17.9;78.5;63;71;41.8;123.8;"blue"
"Arena";"Wisconsin";"Iowa";55049;43.1637;-89.9101;820;175101;10.4;77.8;89;71;32.6;50.9;"blue"
"Argenta";"Illinois";"Macon";17115;39.9851;-88.8202;908;97504;19.5;82.8;95;70;39.2;24.6;"red"
"Argo";"Alabama";"Jefferson";1073;33.6962;-86.5066;4213;192710;36.6;89.6;99;68;58.3;1.6;"blue"
"Argos";"Indiana";"Marshall";18099;41.2388;-86.2525;1647;89016;21.4;83.1;88;70;41.7;25.9;"red"
"Argyle";"New York";"Washington";36115;43.2363;-73.4907;293;160551;17.9;78.5;63;71;41.8;123.8;"red"
"Argyle";"Texas";"Denton";48121;33.1105;-97.1862;4006;384412;39.8;93.0;135;65;28.9;1.5;"red"
"Arkoma";"Oklahoma";"Le Flore";40079;35.3374;-94.4438;1925;37057;27.5;91.3;139;63;36.5;7.8;"red"
"Arlington";"Nebraska";"Washington";31177;41.4548;-96.3565;1273;152591;14.8;85.2;117;67;23.6;25.9;"red"
"Arlington";"Ohio";"Hancock";39063;40.8939;-83.6529;1463;126224;22.6;81.9;72;68;39.1;27.5;"red"
"Arlington";"Tennessee";"Shelby";47157;35.2595;-89.668;11566;247066;28.5;86.5;102;68;54.2;6.3;"blue"
"Arlington";"Texas";"Tarrant";48439;32.6998;-97.1251;392772;75088;39.8;93.0;135;65;28.9;1.5;"red"
"Arlington";"Washington";"Snohomish";53061;48.1698;-122.144;19112;381168;30.1;74.7;58;72;39.4;5.0;"blue"
